zip,slic,state,city
01921,0199,MA,BOXFORD
01922,0199,MA,BYFIELD
01923,0199,MA,DANVERS
01929,0199,MA,ESSEX
01930,0199,MA,GLOUCESTER
01931,0199,MA,GLOUCESTER
01936,0199,MA,HAMILTON
01937,0199,MA,HATHORNE
01938,0199,MA,IPSWICH
01940,0199,MA,LYNNFIELD
01944,0199,MA,MANCHESTER
01945,0199,MA,MARBLEHEAD
01949,0199,MA,MIDDLETON
01950,0199,MA,NEWBURYPORT
01951,0199,MA,NEWBURY
01952,0199,MA,SALISBURY
01960,0199,MA,PEABODY
01961,0199,MA,PEABODY
01965,0199,MA,PRIDES CROSSING
01966,0199,MA,ROCKPORT
01969,0199,MA,ROWLEY
01970,0199,MA,SALEM
01971,0199,MA,SALEM
01982,0199,MA,SOUTH HAMILTON
01983,0199,MA,TOPSFIELD
01984,0199,MA,WENHAM
01985,0199,MA,WEST NEWBURY
02018,0249,MA,ACCORD
02019,0220,MA,BELLINGHAM
02021,0209,MA,CANTON
02025,0249,MA,COHASSET
02026,0209,MA,DEDHAM
02027,0209,MA,DEDHAM
02030,0209,MA,DOVER
02031,0249,MA,EAST MANSFIELD
02032,0220,MA,EAST WALPOLE
02035,0220,MA,FOXBORO
02038,0220,MA,FRANKLIN
02040,0249,MA,GREENBUSH
02043,0249,MA,HINGHAM
02044,0249,MA,HINGHAM
02045,0249,MA,HULL
02048,0220,MA,MANSFIELD
02052,0220,MA,MEDFIELD
02053,0220,MA,MEDWAY
02054,0220,MA,MILLIS
02055,0249,MA,MINOT
02056,0220,MA,NORFOLK
02060,0249,MA,NORTH SCITUATE
02061,0249,MA,NORWELL
02062,0209,MA,NORWOOD
02066,0249,MA,SCITUATE
02067,0220,MA,SHARON
02070,0220,MA,SHELDONVILLE
02071,0220,MA,SOUTH WALPOLE
02072,0209,MA,STOUGHTON
02081,0220,MA,WALPOLE
02090,0209,MA,WESTWOOD
02093,0220,MA,WRENTHAM
02101,0219,MA,BOSTON
02102,0219,MA,BOSTON
02103,0219,MA,BOSTON
02104,0219,MA,BOSTON
02105,0219,MA,BOSTON
02106,0219,MA,BOSTON
02107,0219,MA,BOSTON
02108,0219,MA,BOSTON
02109,0212,MA,BOSTON
02110,0212,MA,BOSTON
02111,0219,MA,BOSTON
02112,0219,MA,BOSTON
02113,0212,MA,BOSTON
02114,0212,MA,BOSTON
02115,0219,MA,BOSTON
02116,0219,MA,BOSTON
02117,0219,MA,BOSTON
02126,0209,MA,MATTAPAN
02127,0196,MA,BOSTON
02128,0196,MA,BOSTON
02129,0212,MA,CHARLESTOWN
02130,0209,MA,JAMAICA PLAIN
02131,0209,MA,ROSLINDALE
02132,0209,MA,WEST ROXBURY
02134,0219,MA,ALLSTON
02135,0219,MA,BRIGHTON
02136,0209,MA,HYDE PARK
02137,0209,MA,READVILLE
02138,0212,MA,CAMBRIDGE
02139,0212,MA,CAMBRIDGE
02140,0212,MA,CAMBRIDGE
02141,0212,MA,CAMBRIDGE
02142,0212,MA,CAMBRIDGE
02143,0212,MA,SOMERVILLE
02144,0212,MA,SOMERVILLE
02145,0212,MA,SOMERVILLE
02148,0196,MA,MALDEN
02149,0196,MA,EVERETT
02150,0196,MA,CHELSEA
02151,0196,MA,REVERE
02153,0186,MA,MEDFORD
02155,0186,MA,MEDFORD
02156,0186,MA,WEST MEDFORD
02163,0219,MA,BOSTON
02169,0209,MA,QUINCY
02170,0209,MA,QUINCY
02171,0209,MA,QUINCY
02176,0196,MA,MELROSE
02180,0186,MA,STONEHAM
